Insight,Date,Description,Segment,Source,Source link
I trust AI to do low-threshold actions automatically (closing tasks),2026-07-14,,Enterprise,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
My biggest concern about AI & automations is how mistakes are handled,2026-07-14,,Enterprise,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to know about fuel and cost anomalies without creating reports manually,2026-07-14,,Enterprise,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want fields across multiple vehicle entries to be updated from a single document,2026-07-14,,Enterprise,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
Some actions will require context I don't trust AI to have (e.g. driver assignment),2026-07-14,,Enterprise,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
It's enough for me to have an overview of tasks that were created. I don't need to approve every action,2026-07-15,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to have control over driver assignments because of context,2026-07-15,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want return and handover documents to be digital and automated,2026-07-15,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to know about behaviors where drivers don't comply with our guidelines,2026-07-15,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
The biggest gap between operational work and AI capabilities helping is in Reporting,2026-06-25,,Unknown,Survey,https://vimcar.slack.com/files/U0B0N22BW4U/F0BFGHEG2EP/shiftmove_fleet_intelligence_report_2026.pdf
Detailed setup or potential activation of automatic mileage reminders for drivers (in system settings) was mentioned but not decided/configured,2026-06-28,,Unknown,Customer Success,https://demodesk.com/recordings/10eb4c03ff407c17?t=2037.712&query=automation&tab=transcript
I want to reliably know how far a car drove between fuelling up,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
"In order to add a UVV task to all vehicles, I need to click on all of them manually.",2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to know if drivers are doctoring the fuel numbers,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to know the mileage of our leasing cars in order to evaluate whether they're within the contract boundaries and I need to change something,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I spend so much time cleaning data in Avrios because I want the reports and statuses to be accurate,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to be alerted about data anomalies in order to review and resolve them,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
Only if something requires my attention do I want to manually be involved. Otherwise I trust the AI,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want full visibility into what happened when over the lifetime of a vehicle,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
I want to know how much to sell our cars for,2026-07-16,,Unknown,Interviews,https://miro.com/app/board/uXjVH8qb0_g=/?share_link_id=819698734754
